slug,title,publisher,source_type,published_on,retrieved_on,url,notes
crs-hpai-outbreak,"The Highly Pathogenic Avian Influenza (HPAI) Outbreak in Poultry, 2022-Present",Congressional Research Service (R48518),government,,2026-07-28,https://www.congress.gov/crs-product/R48518,"Splits losses by sector: table-egg layers roughly 75%, turkeys 11%, BROILERS only about 8%. Broiler farms hold fewer birds, are restocked faster, and the birds live ~47 days so cumulative exposure is far lower. This is the key finding for our purposes - HPAI is overwhelmingly an egg story, not a wing story."
epa-foodservice-waste,"Food waste reduction in commercial kitchens (Winnow, EPA materials)",US Environmental Protection Agency,government,,2026-07-28,https://www.epa.gov/sites/default/files/2019-12/documents/winnow_presentation_12_19_19.pdf,Food waste typically runs 4% to 13% of food costs in commercial kitchens. Spoilage specifically ranges 1-5% in prepare-ahead operations and 1-6% in cook-to-order operations. Corroborates the ReFED band.
ers-broiler-grower-fees,Fees paid to growers for raising broiler chickens varied widely in 2020,USDA Economic Research Service,government,,2026-07-28,http://www.ers.usda.gov/data-products/charts-of-note/chart-detail?chartId=104642,"Grower pay clusters at 3.8 to 4.6 cents per pound of live weight, set by a relative ""tournament"" system in which each farm's rate depends on its performance against others delivering in the same period."
ers-supermarket-loss,"Supermarket Loss Estimates for Fresh Fruit, Vegetables, Meat, Poultry, and Seafood and Their Use in the ERS Loss-Adjusted Food Availability Data",USDA Economic Research Service (EIB-44),government,,2026-07-28,https://www.ers.usda.gov/publications/44309,"Retail-level shrink. ERS previously assumed a flat 7% retail loss for every meat, poultry, and seafood category; this study replaced that with measured supermarket estimates, cutting loss-adjusted fresh meat, poultry, and seafood availability by 7.3% for 2012."
fsis-line-speed-rule,Maximum Line Speed Rates for Young Chicken and Turkey Establishments Operating Under the New Poultry Inspection System,USDA Food Safety and Inspection Service / Federal Register,government,2026-02-19,2026-07-28,https://www.fsis.usda.gov/policy/federal-register-rulemaking/federal-register-rules/maximum-line-speed-rates-young-chicken,"Plants under the New Poultry Inspection System may run 175 birds per minute; everyone else is capped at 140. 47 plants held waivers as of 2018. FSIS proposed formalising 175 bpm in February 2026.
Directly relevant to wing damage: comment records attribute improperly hung shackles, insufficient bleeding, and scalding of live birds to faster lines - shackling being the exact mechanism behind broken wings. FSIS counters that waiver plants meet or exceed food safety standards. Note that food safety and carcass DAMAGE are different questions; the FSIS defence addresses the former, not the latter."
fsis-poultry-labeling-standards,Food Standards and Labeling Policy Book,USDA Food Safety and Inspection Service,government,,2026-07-28,https://www.usda.gov/sites/default/files/guidance-documents/FSIS-GD-2005-0003-Food-Standards-and-Labeling-Policy-Book.pdf,"""Wings"" is a REGULATED term. A product labelled wings must be the entire wing with all muscle and skin intact, except that the tip may be removed. Where bone has been removed the name must say so. Also defines the solid-muscle / chunked-and-formed / ground-and-formed distinction that separates a whole-muscle boneless wing from a reformed nugget."
nass-census-agriculture-2022,"Census of Agriculture 2022, broiler data by state",USDA National Agricultural Statistics Service (QuickStats),government,2024-02-13,2026-07-29,https://quickstats.nass.usda.gov/,"The census breaks the suppression ceiling. NASS's annual SURVEY programme withholds states with too few operations - the same 22-state cap applies in the QuickStats API as in the PDFs, which was confirmed directly by querying it. The CENSUS is a separate five-yearly enumeration with different disclosure handling, and for broilers at state level it publishes ALL 50 STATES with nothing withheld.
California is the clearest illustration: 313.7 million broilers sold in 2022, eighth largest in the country, and absent from every year of both annual publications.
Caveat carried deliberately: these are SALES in a census year, not slaughter or production, and they do not move until the 2027 census. They answer ""which states raise broilers and at what scale"" - never mix them into an annual time series."
nass-chickens-eggs-2025,Chickens and Eggs 2025 Summary,USDA National Agricultural Statistics Service,government,2026-02-17,2026-07-29,https://esmis.nal.usda.gov/sites/default/release-files/795778/ckegan26.pdf,"The anchor for everything egg. Annual estimates cover December 1 of the previous year through November 30, which is NOT a calendar year - do not align it with the slaughter summary's calendar-year series.
US 2025: layers averaged 365 million, annual production per layer on hand 288 eggs, total production 105 billion eggs (90.1 billion table, 15.2 billion hatching).
Internally consistent to a degree worth noting: average layers times eggs per layer reproduces reported total production for all 31 states with 2025 figures, zero mismatches beyond 1%. And 288 eggs/year divided by 365 days gives 0.789 eggs/hen/day, which independently matches the 78.7-79.9 eggs per 100 layers per day reported in the monthly releases. Two unrelated tables agreeing is the strongest validation in the project.
Coverage is BETTER than broilers: 34 states named across 2024-2025 against 23 for slaughter. Maryland, South Dakota, and Virginia are suppressed for 2025 but present for 2024."
nass-chickens-eggs-monthly-2026,"Chickens and Eggs, monthly releases 2026",USDA National Agricultural Statistics Service,government,,2026-07-29,https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chickens_and_Eggs/index.php,"Monthly rate of lay and layer inventory. Rate of lay per day ran 79.1 (Jan 1), 78.9 (Feb 1), 79.9 (May 1), and 78.7 (Jun 1) eggs per 100 layers in 2026 - remarkably steady. June 1 2026 layer inventory 377 million total: 312 million table-egg, 60.7 million broiler-type hatching, 4.70 million egg-type hatching.
The table-egg versus hatching split matters for us: they are different birds with very different lay rates, and a state's headline eggs-per-layer figure is largely a readout of which mix it runs."
nass-poultry-slaughter-2025,Poultry Slaughter 2025 Summary,USDA National Agricultural Statistics Service,government,2026-02-01,2026-07-28,https://www.nass.usda.gov/Publications/Todays_Reports/reports/pslaan26.pdf,"Definitive US slaughter statistics. NASS reports the broiler population under the category ""Young Chickens"", defined in the report as ""commercially grown broilers-fryers and other young immature birds such as roasters and capons"". Highest-confidence source in the project."
nass-production-value-2025,Poultry - Production and Value 2025 Summary,USDA National Agricultural Statistics Service,government,2026-04-30,2026-07-29,https://www.nass.usda.gov/Publications/Todays_Reports/reports/plva0426.pdf,"Broilers PRODUCED by state - head, live weight, and value - over December 1 to November 30. A different publication and a different population from the Poultry Slaughter summary, which counts young chickens SLAUGHTERED per calendar year and also includes roasters and capons. 2025: 9.40 billion produced against 9.58 billion slaughtered. The two must never be summed or treated as one series.
Carried for two reasons. First, it independently CONFIRMS our state live weights: production pounds divided by head reproduces the slaughter report's state average for all 14 states the 2025 table names, exactly, from a separate survey. Second, it RECOVERS STATES - NASS suppresses different states in different years and publications, and Florida is individually reported here for 2024 while appearing in no year of the slaughter summary."
usda-fdc-egg-raw,"Egg, whole, raw, fresh (FDC 171287)",USDA FoodData Central,government,,2026-07-29,https://fdc.nal.usda.gov/food-details/171287/nutrients,"Per 100 g of edible contents: 143 kcal, 12.56 g protein, 9.51 g fat, 372 mg cholesterol. A US large egg is about 50 g of contents, so roughly 72 kcal and 6.3 g protein each.
Only a raw row is carried. A wing has one dominant preparation - breaded and deep fried - which makes raw-versus-fried an informative pair. An egg has no canonical preparation, and scrambling in butter changes the numbers because of the butter. Storing one arbitrary cooked row would assert a default that does not exist."
usda-fdc-wing-fried,"Fast foods, fried chicken, wing, meat and skin and breading (FDC 170360)",USDA FoodData Central,government,,2026-07-28,https://fdc.nal.usda.gov/food-details/170360/nutrients,"Breaded and fried. Roughly 59% of calories from fat against 27% from protein - the breading and frying oil, not the bird, drive the change."
usda-fdc-wing-raw,"Chicken, broilers or fryers, wing, meat and skin, raw (FDC 172390)",USDA FoodData Central,government,,2026-07-28,https://fdc.nal.usda.gov/food-details/172390/nutrients,"Per 100 g: 191 kcal, 17.5 g protein, 12.8 g fat. The reference figure for an unbreaded, uncooked whole wing with skin."
usda-psd-israel-broiler-2000,"Production, Supply and Distribution database, Israel broiler meat production, market years 1964-2000",USDA Foreign Agricultural Service,government,,2026-07-29,https://apps.fas.usda.gov/psdonline/downloads/psd_livestock_csv.zip,"Held ONLY as evidence in the CBS weight-basis question. No figure from it is loaded, and it is not an Israeli source.
The question it addresses: CBS reports Israeli broiler tonnage but never states whether the figure is live weight or carcass weight, so the tonnage cannot be used for anything that depends on the basis. USDA PSD reports broiler meat on a ready-to-cook basis by its own convention, which makes it a yardstick.
The one overlapping year is 2000. CBS reports 270,000 tonnes; PSD reports 195,000 tonnes. The ratio is 72.2%, which is dressing-yield shaped - this project's own US figure derives to 75.67% from two NASS totals. If CBS were already reporting carcass weight the ratio would sit near 100%.
That is evidence for CBS being LIVE weight, not proof, and three things keep it from being proof. It is a single overlapping year. That year is 2000, twenty-six years before the figures actually in use. And PSD's unit string for broiler meat is a bare ""(1000 MT)"" where its beef series says ""(1000 MT CWE)"" explicitly, so the ready-to-cook basis is convention rather than a label on the row.
Two further checks, both consistent with live weight and neither decisive. CBS's own output and marketing series agree at 95-100% for the same year, so both share one basis and the gap between them is stock change rather than dressing. And 571,497 tonnes marketed against 275,427,900 chicks placed gives 2.075 kg per bird placed, or about 2.18 kg per bird marketed at 5% farm mortality - plausible as a live weight for Israel's smaller birds, and requiring roughly 2.9 kg live if read as carcass weight.
Recorded as a conflict rather than resolved, per the rule in docs/research/README.md that a source disagreement is reported and not adjudicated, and because promoting this to a stated basis is a human judgement about provenance."
tyson-foodservice-boneless,"Fully Cooked Breaded Whole Muscle Boneless Chicken Wings, product specs",Tyson Foodservice,industry_spec,,2026-07-28,https://www.tysonfoodservice.com/products/tyson/chicken/boneless-wings--chunks/00023700055446,"Manufacturer piece weights for commercial boneless wings: 0.76 oz and 0.79 oz per finished breaded piece. A 3.78 oz portion is about six pieces. Note the product category name Tyson itself uses - ""boneless wings & chunks"" - and the descriptor ""whole muscle chicken breast"". These are breast chunks, and the manufacturer does not pretend otherwise."
tyson-foodservice-chunks,"Boneless wings and chunks product line, ingredient statements",Tyson Foodservice,industry_spec,,2026-07-28,https://www.tysonfoodservice.com/products/tyson/chicken/boneless-wings--chunks/00023700035608,"Ingredient statements across the line read ""boneless, skinless chicken BREAST chunks with rib meat"". Rib meat is the portion left attached to the breast during deboning - part of the front quarter, NOT the wing. So ""chunks"" contain no wing meat either, and the phrase ""with rib meat"" is a breast-yield allowance rather than a different cut sneaking in."
boneless-wing-method,A method of production of boneless chicken wings (drumettes and winglets) by separation of periosteum from bone without cutting skin and muscles,Poultry Science,peer_reviewed,,2026-07-28,https://www.sciencedirect.com/science/article/pii/S0032579119322989,"Segment masses: bone-in drumette 39.9 g at 74.9% boneless yield, bone-in winglet 30.7 g at 80.1% boneless yield."
chilling-method-yield,"Moisture retention by water- and air-chilled broilers, and effect of immersion or dry air chilling on carcass moisture retention",Poultry Science,peer_reviewed,,2026-07-28,https://www.sciencedirect.com/science/article/pii/S105661711931205X,"Air chilling LOSES 2.5-2.84% of prechill weight; immersion chilling GAINS 4.14% in one study and 9.3% in another, with a range of 3.4-14.7%. Overall carcass yield: immersion +6.5%, combination inline air +1.98%, air chill -1.10%.
This is a MASS effect only. Chilling method changes what a wing weighs by up to a tenth; it cannot change how many wings a chicken has. It therefore belongs in the mass stages and can never move a count answer - but it matters a great deal to anyone buying wings by the pound."
cold-chain-refrigeration-losses,The impact of refrigeration on food losses and associated greenhouse gas emissions throughout the supply chain,Environmental Research Letters (IOP),peer_reviewed,,2026-07-28,https://iopscience.iop.org/article/10.1088/1748-9326/ad4c7b,"Models food loss across 10 supply chain stages and finds improved refrigeration cuts losses 26-63% for meat, milk, and produce. IMPORTANTLY it does NOT break out a transport-stage loss rate, and the authors state that underlying food loss rate data ""remain uncertain"". Cited here as evidence that a clean transit figure does not exist, not as a source for one. For meat the paper finds post-harvest handling and storage, not transport, is where refrigeration matters most."
gotoh-2018-wagyu-review,The Japanese Wagyu beef industry: current situation and future prospects -- A review,Asian-Australasian Journal of Animal Sciences 31(7),peer_reviewed,2018-06-21,2026-08-15,https://www.animbiosci.org/journal/view.php?doi=10.5713/ajas.18.0333,"Gotoh, Nishimura, Kuchida & Mannen (2018). Peer-reviewed, but COOPER may not assign `study` -- the figure below is graded `industry` by human decision, same rule as every other peer-reviewed source in this project (see the honey batch's Jaganathan & Mandal lesson in docs/research/README.md).
A single source that carried four of batch-03-wagyu's six items in principle (carcass/finishing weights, the yield/quality/BMS grading structure, days on feed, total feed consumption) -- extraction still returned only one figure from it. See docs/research/accepted/batch-03-wagyu-REVIEW.md for why: the model mostly declined to return a candidate at all against a document that demonstrably contained the answers, a different failure shape than vanilla's wrong-question/gate-limit drops.
The PMC mirror (PMC6039323) returned a reCAPTCHA wall on 2026-08-15; fetched here from the publisher (animbiosci.org) instead.
Round 2 (2026-08-16, human read of the same fetched document) recovered two more figures from it: the Japanese Black carcass-yield weights (756 kg live / 476 kg carcass at 29.2 months) and the JMGA grading structure (yield letter A-C, quality number 1-5, BMS 1-12 as one of four inputs to the quality number). See docs/research/accepted/batch-03-wagyu-REVIEW-round2.md."
myopathy-prevalence-ontario,"Prevalence of breast muscle myopathies (spaghetti meat, woody breast, white striping) and associated risk factors in broiler chickens",PLOS ONE,peer_reviewed,,2026-07-28,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0267019,"White striping 96.0%, spaghetti meat 36.3%, severe woody breast 11.8%. 85.1% of fillets showed more than one myopathy. Risk rises with live weight, so big-bird deboning flocks - precisely the birds boneless product comes from - are the worst affected. Woody breast incidence rose from about 5% in 2012 to 29% by 2015."
ncc-broiler-lca-2020,Broiler Production System Life Cycle Assessment: 2020 Update,National Chicken Council / University of Arkansas,peer_reviewed,2021-09-01,2026-07-28,https://www.nationalchickencouncil.org/wp-content/uploads/2021/09/Broiler-Production-System-LCA_2020-Update.pdf,"Full ReCiPe lifecycle assessment built on Agri-Stats national data. Reference flow is one broiler at 6.37 lb live weight. Per average bird in 2020: 2.90 kg CO2 eq, 5.26 m2a crop eq land, 0.73 m3 water, 0.61 kg oil eq fossil resources, 5.87 g PM2.5 eq. Per kg live weight: 1.00, 1.85, 0.25, 0.21, 2.03 respectively. Improvements 2010-2020: global warming -18.1%, land -13.0%, water -13.0%, fossil -22.1%, PM -13.8%. Also gives 1.053 baby chicks per broiler produced to cover mortality, which independently corroborates our farm_mortality stage."
nrc-2002-ground-beef-risk,Escherichia coli O157:H7 in Ground Beef - Review of a Draft Risk Assessment,"National Research Council / Institute of Medicine, National Academies Press",peer_reviewed,2002-01-01,2026-07-31,https://www.ncbi.nlm.nih.gov/books/NBK221105/,"The structure of a ground beef lot, on a host the pipeline can actually reach. ""Trim is removed from each carcass and combined into 2,000-pound combo bins during the slaughter process."" ""Grinder loads are presumed to vary in size from the equivalent of 2 to 15 combo bins of trim."" And, in the Slaughter Module chapter (NBK221092): ""Lot is defined in the draft as the number of cattle necessary to fill one combo bin with trim; and a single lot may take one or more truckloads of cattle.""
HOW IT WAS FOUND, because the method generalises. The figures wanted here live in an FSIS draft risk assessment, and fsis.usda.gov returns HTTP 403 to this project's fetcher site-wide - verified against three paths on two separate days. This volume is the National Academies REVIEWING that draft, and it quotes the definitions at length. When an agency document is unfetchable, look for the body that reviewed it: oversight literature quotes what it reviews, and oversight publishers host differently.
Note ""presumed"" in the grinder-load sentence. It is a modelling assumption inside a risk assessment, not an observation, which is why the combo-bin pool derived from it is graded `estimate`."
plos-hu-2012-grind-batch,Estimating Animal Abundance in Ground Beef Batches Assayed with Molecular Markers,"Hu X-S, Simila J, Platz SS, Moore SS, Plastow G, Meghen CN; PLoS ONE 7(3):e34191",peer_reviewed,2012-03-30,2026-07-31,https://pmc.ncbi.nlm.nih.gov/articles/PMC3316629/,"The most important source in the ground beef subject and the only measured mixing pool anywhere in this corpus. DNA markers profiled in six commercial grind batches, animal abundance estimated by mark-recapture: ""An average of 411 to1367 animals was present in the six grind batches."" (The missing space is the document's own.)
Promoted to `study` by hand. COOPER graded it `industry` because it cannot grade higher, and the promotion rests on a narrow point that the honey batch taught: 411-1,367 is this paper's own primary result, not uncited scene-setting borrowed from someone else. The same paper's ""a single ground beef batch may consist of many hundreds of animals"" IS scene-setting, and is deliberately not used as a figure anywhere.
Four things it is not, all easy to get wrong: not a per-patty count (a batch is many bins); not a per-bin count; not a national figure (six batches, one manufacturer, one line, one shift); and not a mean worth quoting on its own - the paper's own point is the variance between batches."
pubmed-multi-silkworm-cocoon,"Multi-silkworm cocoon: structure, properties and the collective spinning behaviour behind it (Int J Biol Macromol, PMID 38061509)",PubMed / Elsevier,peer_reviewed,2023-12-01,2026-07-31,https://pubmed.ncbi.nlm.nih.gov/38061509/,"Cited for ONE sentence and graded deliberately below what its source_type would suggest: ""A normal silkworm cocoon (NSC) with a unique nonwoven structure is usually spun by a single silkworm larva.""
THE PAPER IS PEER-REVIEWED AND THAT SENTENCE IS NOT ITS FINDING. It is uncited scene-setting in a materials-science study about cocoon structure, so the figure it supports is graded `industry`, not `study`. This is exactly the distinction the research README draws using Jaganathan & Mandal on honey, and it is the reason `study` is a human-only grade: a model that sees a journal header cannot tell a paper's result from its first sentence.
Cited because it is the ONLY fetchable source found, across a 35-URL sweep covering FAO, Britannica, Wikipedia, Saint Louis Zoo, Carolina Biological and several extension PDFs, that states the one-cocoon-per-silkworm relation in a single sentence at all. Sericulture writers treat it as too obvious to count and write ""the larvae enclose themselves in a cocoon"", which contains no number and cannot ground a figure of 1.
It also supplies its own exception, which is kept rather than trimmed: three or more larvae sometimes spin one cocoon collectively in a particular Bombyx mori genetic resource. So the constant is one-to-one for commercial silk and is not a law of nature."
welfare-training-carcass-quality,The Influence of Welfare Training on Bird Welfare and Carcass Quality in Two Commercial Poultry Primary Processing Plants,Animals (PMC),peer_reviewed,,2026-07-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6719098/,"90% of bruising occurs in the 12-24 hours before processing. Bruise distribution by region: breast 42%, wings 33%, legs 25%."
wing-injuries-loading,Rearing and handling injuries in broiler chickens and risk factors for wing injuries during loading,Canadian Journal of Animal Science,peer_reviewed,,2026-07-28,https://cdnsciencepub.com/doi/10.1139/cjas-2019-0204,"Median wing injuries per load 5.7%, against under 1% per load for legs, breast, and shoulders. Wings are by a wide margin the most damaged part of the bird. Load-to-load variance is high, so this is stored with a wide lo/hi band."
wing-yield-eight-strains,"Yield of Carcass, Parts, Meat, Skin, and Bone of Eight Strains of Broilers",Poultry Science,peer_reviewed,,2026-07-28,https://www.sciencedirect.com/science/article/pii/S003257911946625X/pdf,"Whole wing as a share of carcass weight (9.1-10.2%) and of live weight (6.7-7.3%), measured across eight commercial broiler strains."
beefresearch-org-beef-grading,"Fact Sheet: Beef Grading (Expected Yields of Closely Trimmed, Boneless Retail Cuts by USDA Yield Grade)",National Cattlemen's Beef Association / beefresearch.org (Cattlemen's Beef Board checkoff),trade_body,,2026-08-15,https://www.beefresearch.org/resources/product-quality/fact-sheets/beef-grading,"Checkoff-funded fact sheet authored by Daryl Tatum PhD (Colorado State), citing the 1996 USDA grading standard directly. Cited for the %CTBRC column of its Table 1: closely trimmed boneless retail cuts from round/loin/rib/chuck ONLY, <45.4% to >52.3% of carcass weight across USDA Yield Grades 5 through 1. The companion %Total Yield column (all retail cuts including ground beef, <65 to >=80) is a different denominator and is not interchangeable with it -- nor with SDSU's 65% worked-example figure, which includes trim the %CTBRC basis excludes."
msstate-ext-beef-grades,Beef Grades and Carcass Information,Mississippi State University Extension Service,trade_body,,2026-08-15,https://extension.msstate.edu/publications/beef-grades-and-carcass-information,"A DIFFERENT MSU Extension publication from msstate-ext-beef-yield (farm-direct beef), despite the same publisher and overlapping subject. This one is the grading fact sheet, cited for the fed-cattle dressing percentage: ""It typically ranges from 60 to 64 percent for the majority of fed cattle and averaged 64 percent for the Mississippi Farm to Feedlot program cattle from 1993 through 2007."" Same 60-64 range the other MSU document states, independently restated with a measured program mean attached -- consistent, and not merged into one citation because they are two documents.
Also the document that treats marbling/quality-grade and fat-thickness/yield-grade as independently measured traits throughout, which is the basis for batch-03-wagyu's honest marbling_vs_yield_tradeoff ""sources treat the axes as independent"" finding."
msstate-ext-beef-yield,How Much Meat to Expect from a Beef Animal (farm-direct beef),Mississippi State University Extension Service,trade_body,,2026-07-31,https://extension.msstate.edu/publications/how-much-meat-expect-beef-animal-farm-direct-beef,"""The average dressing percentage of beef cattle is 60 to 64 percent."" Cited for dressing, and for the upper bound of the carcass-to-packaged band.
Carries a conflict this project records rather than resolves. Its take-home sentence gives two figures that do not reconcile with each other: ""the take-home weight of packaged beef will be approximately 40 percent of the animal's live weight, or 75 percent of the hot carcass weight."" At its own 63 percent dressing percent, 75 percent of the carcass is 47 percent of live weight, not 40. SDSU's 65 percent does reconcile. Both bounds are kept and neither is averaged away."
ncc-broiler-performance,U.S. Broiler Performance,National Chicken Council,trade_body,,2026-07-28,https://www.nationalchickencouncil.org/about-the-industry/statistics/u-s-broiler-performance/,"Year-by-year series of market age, market weight, feed conversion, and grow-out mortality going back to 1925. Trade body rather than government, so figures are tagged confidence=industry."
ncc-key-facts,Broiler Chicken Industry Key Facts,National Chicken Council,trade_body,,2026-07-28,https://www.nationalchickencouncil.org/about-the-industry/statistics/broiler-chicken-industry-key-facts/,"Industry structure - plant counts, company counts, contract farms."
